Name,Platform,Year,Genre,Publisher,Region,Sales,Global_Sales
,3DS,2013,Role-Playing,Nintendo,Japan,4.34,14.35
,3DS,2013,Role-Playing,Nintendo,Other,0.79,14.35
,PS4,2015,Shooter,Activision,North America,5.77,14.24
,PS4,2015,Shooter,Activision,Europe,5.81,14.24
,PS4,2015,Shooter,Activision,Japan,0.35,14.24
,PS4,2015,Shooter,Activision,Other,2.31,14.24
,PS3,2012,Shooter,Activision,North America,4.99,14.03
,PS3,2012,Shooter,Activision,Europe,5.88,14.03
,PS3,2012,Shooter,Activision,Japan,0.65,14.03
,PS3,2012,Shooter,Activision,Other,2.52,14.03
,X360,2012,Shooter,Activision,North America,8.25,13.73
,X360,2012,Shooter,Activision,Europe,4.3,13.73
,X360,2012,Shooter,Activision,Japan,0.07,13.73
,X360,2012,Shooter,Activision,Other,1.12,13.73
,X360,2009,Shooter,Activision,North America,8.52,13.51
,X360,2009,Shooter,Activision,Europe,3.63,13.51
,X360,2009,Shooter,Activision,Japan,0.08,13.51
,X360,2009,Shooter,Activision,Other,1.29,13.51
,PS3,2011,Shooter,Activision,North America,5.54,13.46
,PS3,2011,Shooter,Activision,Europe,5.82,13.46
,PS3,2011,Shooter,Activision,Japan,0.49,13.46
,PS3,2011,Shooter,Activision,Other,1.62,13.46
,PS2,2001,Action,Take-Two Interactive,North America,6.99,13.1
,PS2,2001,Action,Take-Two Interactive,Europe,4.51,13.1
,PS2,2001,Action,Take-Two Interactive,Japan,0.3,13.1
,PS2,2001,Action,Take-Two Interactive,Other,1.3,13.1
,Wii,2008,Fighting,Nintendo,North America,6.75,13.04
,Wii,2008,Fighting,Nintendo,Europe,2.61,13.04
,Wii,2008,Fighting,Nintendo,Japan,2.66,13.04
,Wii,2008,Fighting,Nintendo,Other,1.02,13.04
,PS3,2010,Shooter,Activision,North America,5.98,12.73
,PS3,2010,Shooter,Activision,Europe,4.44,12.73
,PS3,2010,Shooter,Activision,Japan,0.48,12.73
,PS3,2010,Shooter,Activision,Other,1.83,12.73
,DS,2005,Simulation,Nintendo,North America,2.55,12.27
,DS,2005,Simulation,Nintendo,Europe,3.52,12.27
,DS,2005,Simulation,Nintendo,Japan,5.33,12.27
,DS,2005,Simulation,Nintendo,Other,0.88,12.27
,3DS,2011,Racing,Nintendo,North America,4.74,12.21
,3DS,2011,Racing,Nintendo,Europe,3.91,12.21
,3DS,2011,Racing,Nintendo,Japan,2.67,12.21
,3DS,2011,Racing,Nintendo,Other,0.89,12.21
,X360,2007,Shooter,Microsoft Game Studios,North America,7.97,12.14
,X360,2007,Shooter,Microsoft Game Studios,Europe,2.83,12.14
,X360,2007,Shooter,Microsoft Game Studios,Japan,0.13,12.14
,X360,2007,Shooter,Microsoft Game Studios,Other,1.21,12.14
,PS4,2014,Action,Take-Two Interactive,North America,3.8,11.98
,PS4,2014,Action,Take-Two Interactive,Europe,5.81,11.98
,PS4,2014,Action,Take-Two Interactive,Japan,0.36,11.98
,PS4,2014,Action,Take-Two Interactive,Other,2.02,11.98
,DS,2009,Action,Nintendo,North America,4.4,11.9
,DS,2009,Action,Nintendo,Europe,2.77,11.9
,DS,2009,Action,Nintendo,Japan,3.96,11.9
,DS,2009,Action,Nintendo,Other,0.77,11.9
,N64,1996,Platform,Nintendo,North America,6.91,11.89
,N64,1996,Platform,Nintendo,Europe,2.85,11.89
,N64,1996,Platform,Nintendo,Japan,1.91,11.89
,N64,1996,Platform,Nintendo,Other,0.23,11.89
,PS2,2004,Racing,Sony Computer Entertainment,North America,3.01,11.66
,PS2,2004,Racing,Sony Computer Entertainment,Europe,0.01,11.66
,PS2,2004,Racing,Sony Computer Entertainment,Japan,1.1,11.66
,PS2,2004,Racing,Sony Computer Entertainment,Other,7.53,11.66
,Wii,2007,Platform,Nintendo,North America,6.16,11.52
,Wii,2007,Platform,Nintendo,Europe,3.4,11.52
,Wii,2007,Platform,Nintendo,Japan,1.2,11.52
,Wii,2007,Platform,Nintendo,Other,0.76,11.52
,3DS,2014,Role-Playing,Nintendo,North America,4.23,11.33
,3DS,2014,Role-Playing,Nintendo,Europe,3.37,11.33
,3DS,2014,Role-Playing,Nintendo,Japan,3.08,11.33
,3DS,2014,Role-Playing,Nintendo,Other,0.65,11.33
,GB,1992,Adventure,Nintendo,North America,6.16,11.18
,GB,1992,Adventure,Nintendo,Europe,2.04,11.18
,GB,1992,Adventure,Nintendo,Japan,2.69,11.18
,GB,1992,Adventure,Nintendo,Other,0.29,11.18
,X360,2008,Action,Take-Two Interactive,North America,6.76,11.02
,X360,2008,Action,Take-Two Interactive,Europe,3.1,11.02
,X360,2008,Action,Take-Two Interactive,Japan,0.14,11.02
,X360,2008,Action,Take-Two Interactive,Other,1.03,11.02
,PS,1997,Racing,Sony Computer Entertainment,North America,4.02,10.95
,PS,1997,Racing,Sony Computer Entertainment,Europe,3.87,10.95
,PS,1997,Racing,Sony Computer Entertainment,Japan,2.54,10.95
,PS,1997,Racing,Sony Computer Entertainment,Other,0.52,10.95
,3DS,2011,Platform,Nintendo,North America,4.89,10.79
,3DS,2011,Platform,Nintendo,Europe,2.99,10.79
,3DS,2011,Platform,Nintendo,Japan,2.13,10.79
,3DS,2011,Platform,Nintendo,Other,0.78,10.79
,PS3,2010,Racing,Sony Computer Entertainment,North America,2.96,10.77
,PS3,2010,Racing,Sony Computer Entertainment,Europe,4.88,10.77
,PS3,2010,Racing,Sony Computer Entertainment,Japan,0.81,10.77
,PS3,2010,Racing,Sony Computer Entertainment,Other,2.12,10.77
,PS3,2009,Shooter,Activision,North America,4.99,10.69
,PS3,2009,Shooter,Activision,Europe,3.69,10.69
,PS3,2009,Shooter,Activision,Japan,0.38,10.69
,PS3,2009,Shooter,Activision,Other,1.63,10.69
,PS3,2008,Action,Take-Two Interactive,North America,4.76,10.57
,PS3,2008,Action,Take-Two Interactive,Europe,3.76,10.57
,PS3,2008,Action,Take-Two Interactive,Japan,0.44,10.57
,PS3,2008,Action,Take-Two Interactive,Other,1.62,10.57
,SNES,1993,Platform,Nintendo,North America,5.99,10.55
,SNES,1993,Platform,Nintendo,Europe,2.15,10.55
,SNES,1993,Platform,Nintendo,Japan,2.12,10.55
,SNES,1993,Platform,Nintendo,Other,0.29,10.55
,GBA,2004,Role-Playing,Nintendo,North America,4.34,10.49
,GBA,2004,Role-Playing,Nintendo,Europe,2.65,10.49
,GBA,2004,Role-Playing,Nintendo,Japan,3.15,10.49
,GBA,2004,Role-Playing,Nintendo,Other,0.35,10.49
,DS,2004,Platform,Nintendo,North America,5.08,10.42
,DS,2004,Platform,Nintendo,Europe,3.11,10.42
,DS,2004,Platform,Nintendo,Japan,1.25,10.42
,DS,2004,Platform,Nintendo,Other,0.98,10.42
,Wii,2011,Misc,Ubisoft,North America,6.05,10.26
,Wii,2011,Misc,Ubisoft,Europe,3.15,10.26
,Wii,2011,Misc,Ubisoft,Japan,0,10.26
,Wii,2011,Misc,Ubisoft,Other,1.07,10.26
,X360,2013,Shooter,Activision,North America,6.72,10.21
,X360,2013,Shooter,Activision,Europe,2.63,10.21
,X360,2013,Shooter,Activision,Japan,0.04,10.21
,X360,2013,Shooter,Activision,Other,0.82,10.21
,X360,2010,Shooter,Microsoft Game Studios,North America,7.03,9.88
,X360,2010,Shooter,Microsoft Game Studios,Europe,1.98,9.88
,X360,2010,Shooter,Microsoft Game Studios,Japan,0.08,9.88
,X360,2010,Shooter,Microsoft Game Studios,Other,0.78,9.88
,N64,1996,Racing,Nintendo,North America,5.55,9.87
,N64,1996,Racing,Nintendo,Europe,1.94,9.87
,N64,1996,Racing,Nintendo,Japan,2.23,9.87
,N64,1996,Racing,Nintendo,Other,0.15,9.87
,3DS,2012,Platform,Nintendo,North America,3.66,9.82
,3DS,2012,Platform,Nintendo,Europe,3.07,9.82
,3DS,2012,Platform,Nintendo,Japan,2.47,9.82
,3DS,2012,Platform,Nintendo,Other,0.63,9.82
,X360,2012,Shooter,Microsoft Game Studios,North America,6.63,9.76
,X360,2012,Shooter,Microsoft Game Studios,Europe,2.36,9.76
,X360,2012,Shooter,Microsoft Game Studios,Japan,0.04,9.76
,X360,2012,Shooter,Microsoft Game Studios,Other,0.73,9.76
,PS,1997,Role-Playing,Sony Computer Entertainment,North America,3.01,9.72
,PS,1997,Role-Playing,Sony Computer Entertainment,Europe,2.47,9.72
,PS,1997,Role-Playing,Sony Computer Entertainment,Japan,3.28,9.72
,PS,1997,Role-Playing,Sony Computer Entertainment,Other,0.96,9.72
,PS3,2013,Shooter,Activision,North America,4.09,9.59
,PS3,2013,Shooter,Activision,Europe,3.73,9.59
,PS3,2013,Shooter,Activision,Japan,0.38,9.59
,PS3,2013,Shooter,Activision,Other,1.38,9.59
,Wii,2010,Misc,Ubisoft,North America,5.84,9.52
,Wii,2010,Misc,Ubisoft,Europe,2.89,9.52
,Wii,2010,Misc,Ubisoft,Japan,0.01,9.52
,Wii,2010,Misc,Ubisoft,Other,0.78,9.52
,PS,1999,Racing,Sony Computer Entertainment,North America,3.88,9.49
,PS,1999,Racing,Sony Computer Entertainment,Europe,3.42,9.49
,PS,1999,Racing,Sony Computer Entertainment,Japan,1.69,9.49
,PS,1999,Racing,Sony Computer Entertainment,Other,0.5,9.49
,X360,2007,Shooter,Activision,North America,5.91,9.32
,X360,2007,Shooter,Activision,Europe,2.38,9.32
,X360,2007,Shooter,Activision,Japan,0.13,9.32
,X360,2007,Shooter,Activision,Other,0.9,9.32
,SNES,1994,Platform,Nintendo,North America,4.36,9.3
,SNES,1994,Platform,Nintendo,Europe,1.71,9.3
,SNES,1994,Platform,Nintendo,Japan,3,9.3
,SNES,1994,Platform,Nintendo,Other,0.23,9.3
,X360,2013,Misc,Microsoft Game Studios,North America,5.58,9.2
,X360,2013,Misc,Microsoft Game Studios,Europe,2.83,9.2
,X360,2013,Misc,Microsoft Game Studios,Japan,0.02,9.2
,X360,2013,Misc,Microsoft Game Studios,Other,0.77,9.2
,3DS,2012,Simulation,Nintendo,North America,2.01,9.09
,3DS,2012,Simulation,Nintendo,Europe,2.32,9.09
,3DS,2012,Simulation,Nintendo,Japan,4.36,9.09
,3DS,2012,Simulation,Nintendo,Other,0.41,9.09
,DS,2007,Misc,Nintendo,North America,4.46,9.02
,DS,2007,Misc,Nintendo,Europe,1.88,9.02
,DS,2007,Misc,Nintendo,Japan,1.98,9.02
,DS,2007,Misc,Nintendo,Other,0.7,9.02
,X360,2011,Role-Playing,Bethesda Softworks,North America,5.03,8.84
,X360,2011,Role-Playing,Bethesda Softworks,Europe,2.86,8.84
,X360,2011,Role-Playing,Bethesda Softworks,Japan,0.1,8.84
,X360,2011,Role-Playing,Bethesda Softworks,Other,0.85,8.84
,SNES,1992,Racing,Nintendo,North America,3.54,8.76
,SNES,1992,Racing,Nintendo,Europe,1.24,8.76
,SNES,1992,Racing,Nintendo,Japan,3.81,8.76
,SNES,1992,Racing,Nintendo,Other,0.18,8.76
,PS4,2015,Sports,Electronic Arts,North America,1.11,8.49
,PS4,2015,Sports,Electronic Arts,Europe,6.06,8.49
,PS4,2015,Sports,Electronic Arts,Japan,0.06,8.49
,PS4,2015,Sports,Electronic Arts,Other,1.26,8.49
,Wii,2010,Misc,Nintendo,North America,1.79,8.49
,Wii,2010,Misc,Nintendo,Europe,3.53,8.49
,Wii,2010,Misc,Nintendo,Japan,2.49,8.49
,Wii,2010,Misc,Nintendo,Other,0.68,8.49
,XB,2004,Shooter,Microsoft Game Studios,North America,6.82,8.49
,XB,2004,Shooter,Microsoft Game Studios,Europe,1.53,8.49
,XB,2004,Shooter,Microsoft Game Studios,Japan,0.05,8.49
,XB,2004,Shooter,Microsoft Game Studios,Other,0.08,8.49
,Wii,2007,Misc,Nintendo,North America,3.81,8.42
,Wii,2007,Misc,Nintendo,Europe,2.3,8.42
,Wii,2007,Misc,Nintendo,Japan,1.58,8.42
,Wii,2007,Misc,Nintendo,Other,0.73,8.42
,DS,2012,Role-Playing,Nintendo,North America,2.91,8.33
,DS,2012,Role-Playing,Nintendo,Europe,1.86,8.33
,DS,2012,Role-Playing,Nintendo,Japan,3.14,8.33
,DS,2012,Role-Playing,Nintendo,Other,0.43,8.33
,PS3,2012,Action,Electronic Arts,North America,1.06,8.24
,PS3,2012,Action,Electronic Arts,Europe,5.05,8.24
,PS3,2012,Action,Electronic Arts,Japan,0.13,8.24
,PS3,2012,Action,Electronic Arts,Other,2.01,8.24
,PC,2009,Simulation,Electronic Arts,North America,0.98,8.11
,PC,2009,Simulation,Electronic Arts,Europe,6.42,8.11
,PC,2009,Simulation,Electronic Arts,Japan,0,8.11
,PC,2009,Simulation,Electronic Arts,Other,0.71,8.11
,N64,1997,Shooter,Nintendo,North America,5.8,8.09
,N64,1997,Shooter,Nintendo,Europe,2.01,8.09
,N64,1997,Shooter,Nintendo,Japan,0.13,8.09
,N64,1997,Shooter,Nintendo,Other,0.15,8.09
,Wii,2007,Sports,Sega,North America,2.58,8.06
,Wii,2007,Sports,Sega,Europe,3.9,8.06
,Wii,2007,Sports,Sega,Japan,0.66,8.06
,Wii,2007,Sports,Sega,Other,0.91,8.06
,PS2,2001,Role-Playing,Sony Computer Entertainment,North America,2.91,8.05
,PS2,2001,Role-Playing,Sony Computer Entertainment,Europe,2.07,8.05
,PS2,2001,Role-Playing,Sony Computer Entertainment,Japan,2.73,8.05
,PS2,2001,Role-Playing,Sony Computer Entertainment,Other,0.33,8.05
,PS,1999,Role-Playing,SquareSoft,North America,2.28,7.86
,PS,1999,Role-Playing,SquareSoft,Europe,1.72,7.86
,PS,1999,Role-Playing,SquareSoft,Japan,3.63,7.86
,PS,1999,Role-Playing,SquareSoft,Other,0.23,7.86
,DS,2008,Role-Playing,Nintendo,North America,2.82,7.84
,DS,2008,Role-Playing,Nintendo,Europe,1.78,7.84
,DS,2008,Role-Playing,Nintendo,Japan,2.69,7.84
,DS,2008,Role-Playing,Nintendo,Other,0.55,7.84
,2600,1982,Puzzle,Atari,North America,7.28,7.81
,2600,1982,Puzzle,Atari,Europe,0.45,7.81
,2600,1982,Puzzle,Atari,Japan,0,7.81
,2600,1982,Puzzle,Atari,Other,0.08,7.81
,PSP,2005,Action,Take-Two Interactive,North America,2.9,7.72
,PSP,2005,Action,Take-Two Interactive,Europe,2.83,7.72
,PSP,2005,Action,Take-Two Interactive,Japan,0.24,7.72
,PSP,2005,Action,Take-Two Interactive,Other,1.75,7.72
,Wii,2010,Platform,Nintendo,North America,3.66,7.69
,Wii,2010,Platform,Nintendo,Europe,2.42,7.69
,Wii,2010,Platform,Nintendo,Japan,0.98,7.69
,Wii,2010,Platform,Nintendo,Other,0.64,7.69
,PS4,2015,Shooter,Electronic Arts,North America,2.93,7.67
,PS4,2015,Shooter,Electronic Arts,Europe,3.29,7.67
,PS4,2015,Shooter,Electronic Arts,Japan,0.22,7.67
,PS4,2015,Shooter,Electronic Arts,Other,1.23,7.67
,PS4,2014,Shooter,Activision,North America,2.8,7.6
,PS4,2014,Shooter,Activision,Europe,3.3,7.6
,PS4,2014,Shooter,Activision,Japan,0.14,7.6
,PS4,2014,Shooter,Activision,Other,1.37,7.6
,N64,1998,Action,Nintendo,North America,4.1,7.6
,N64,1998,Action,Nintendo,Europe,1.89,7.6
,N64,1998,Action,Nintendo,Japan,1.45,7.6
,N64,1998,Action,Nintendo,Other,0.16,7.6
,PS,1997,Platform,Sony Computer Entertainment,North America,3.78,7.58
,PS,1997,Platform,Sony Computer Entertainment,Europe,2.17,7.58
,PS,1997,Platform,Sony Computer Entertainment,Japan,1.31,7.58
,PS,1997,Platform,Sony Computer Entertainment,Other,0.31,7.58
,NES,1988,Platform,Nintendo,North America,5.39,7.46
,NES,1988,Platform,Nintendo,Europe,1.18,7.46
,NES,1988,Platform,Nintendo,Japan,0.7,7.46
,NES,1988,Platform,Nintendo,Other,0.19,7.46
,3DS,2014,Fighting,Nintendo,North America,3.24,7.45
,3DS,2014,Fighting,Nintendo,Europe,1.35,7.45
,3DS,2014,Fighting,Nintendo,Japan,2.42,7.45
,3DS,2014,Fighting,Nintendo,Other,0.43,7.45
,X360,2008,Shooter,Activision,North America,4.79,7.37
,X360,2008,Shooter,Activision,Europe,1.9,7.37
,X360,2008,Shooter,Activision,Japan,0,7.37
,X360,2008,Shooter,Activision,Other,0.69,7.37
,X360,2011,Shooter,Electronic Arts,North America,4.46,7.34
,X360,2011,Shooter,Electronic Arts,Europe,2.13,7.34
,X360,2011,Shooter,Electronic Arts,Japan,0.06,7.34
,X360,2011,Shooter,Electronic Arts,Other,0.69,7.34
,Wii,2006,Action,Nintendo,North America,3.83,7.31
,Wii,2006,Action,Nintendo,Europe,2.19,7.31
,Wii,2006,Action,Nintendo,Japan,0.6,7.31
,Wii,2006,Action,Nintendo,Other,0.7,7.31
,XOne,2015,Shooter,Activision,North America,4.52,7.3
,XOne,2015,Shooter,Activision,Europe,2.09,7.3
,XOne,2015,Shooter,Activision,Japan,0.01,7.3
,XOne,2015,Shooter,Activision,Other,0.67,7.3
,Wii,2009,Misc,Ubisoft,North America,3.51,7.27
,Wii,2009,Misc,Ubisoft,Europe,3.03,7.27
,Wii,2009,Misc,Ubisoft,Japan,0,7.27
,Wii,2009,Misc,Ubisoft,Other,0.73,7.27
,PS3,2011,Shooter,Electronic Arts,North America,2.85,7.23
,PS3,2011,Shooter,Electronic Arts,Europe,2.93,7.23
,PS3,2011,Shooter,Electronic Arts,Japan,0.35,7.23
,PS3,2011,Shooter,Electronic Arts,Other,1.1,7.23
,PS2,2003,Racing,Electronic Arts,North America,3.27,7.2
,PS2,2003,Racing,Electronic Arts,Europe,2.83,7.2
,PS2,2003,Racing,Electronic Arts,Japan,0.08,7.2
,PS2,2003,Racing,Electronic Arts,Other,1.02,7.2
,PS,1998,Fighting,Sony Computer Entertainment,North America,3.27,7.16
,PS,1998,Fighting,Sony Computer Entertainment,Europe,2.22,7.16
,PS,1998,Fighting,Sony Computer Entertainment,Japan,1.4,7.16
,PS,1998,Fighting,Sony Computer Entertainment,Other,0.29,7.16
,PS,1998,Platform,Sony Computer Entertainment,North America,3.68,7.13
,PS,1998,Platform,Sony Computer Entertainment,Europe,1.75,7.13
,PS,1998,Platform,Sony Computer Entertainment,Japan,1.42,7.13
,PS,1998,Platform,Sony Computer Entertainment,Other,0.28,7.13
,GC,2001,Fighting,Nintendo,North America,4.41,7.07
,GC,2001,Fighting,Nintendo,Europe,1.04,7.07
,GC,2001,Fighting,Nintendo,Japan,1.39,7.07
,GC,2001,Fighting,Nintendo,Other,0.22,7.07
,WiiU,2014,Racing,Nintendo,North America,3.13,6.96
,WiiU,2014,Racing,Nintendo,Europe,2.07,6.96
,WiiU,2014,Racing,Nintendo,Japan,1.27,6.96
,WiiU,2014,Racing,Nintendo,Other,0.49,6.96
,PS4,2015,Role-Playing,Bethesda Softworks,North America,2.47,6.96
,PS4,2015,Role-Playing,Bethesda Softworks,Europe,3.15,6.96
,PS4,2015,Role-Playing,Bethesda Softworks,Japan,0.24,6.96
,PS4,2015,Role-Playing,Bethesda Softworks,Other,1.1,6.96
,GC,2003,Racing,Nintendo,North America,4.12,6.95
,GC,2003,Racing,Nintendo,Europe,1.77,6.95
,GC,2003,Racing,Nintendo,Japan,0.87,6.95
,GC,2003,Racing,Nintendo,Other,0.19,6.95
,Wii,2012,Misc,Ubisoft,North America,4.14,6.91
,Wii,2012,Misc,Ubisoft,Europe,2.21,6.91
,Wii,2012,Misc,Ubisoft,Japan,0,6.91
,Wii,2012,Misc,Ubisoft,Other,0.56,6.91
,PS3,2013,Sports,Electronic Arts,North America,0.78,6.9
,PS3,2013,Sports,Electronic Arts,Europe,4.32,6.9
,PS3,2013,Sports,Electronic Arts,Japan,0.07,6.9
,PS3,2013,Sports,Electronic Arts,Other,1.73,6.9
,PS2,2004,Racing,Electronic Arts,North America,2.71,6.9
,PS2,2004,Racing,Electronic Arts,Europe,3.02,6.9
